Station,CameraName,y,x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,Total
1,1A,-0.3585662,-75.650566,07/04/2018,09/08/2018,07/04/2018,08/02/2018,08/10/2018,09/08/2018,,,8
1,1B,-0.3585662,-75.650566,07/04/2018,09/28/2018,07/20/2018,07/30/2018,,,,,76
2,2A,-0.3480056,-75.634902,07/04/2018,09/28/2018,,,,,,,86
2,2B,-0.3480056,-75.634902,07/04/2018,08/17/2018,,,,,,,44
3,3A,-0.3358528,-75.619194,07/04/2018,09/28/2018,07/31/2018,08/06/2018,,,,,80
3,3B,-0.3358528,-75.619194,07/04/2018,09/28/2018,,,,,,,86
4,4A,-0.3183634,-75.608932,07/04/2018,09/28/2018,,,,,,,86
4,4B,-0.3183634,-75.608932,07/04/2018,09/28/2018,,,,,,,86
5,5A,-0.3402021,-75.651276,07/04/2018,08/15/2018,07/14/2018,07/14/2018,,,,,42
5,5B,-0.3402021,-75.651276,07/03/2018,07/03/2018,,,,,,,0
6,6A,-0.3262535,-75.637213,07/04/2018,07/10/2018,07/07/2018,07/10/2018,,,,,3
6,6B,-0.3262535,-75.637213,07/04/2018,07/04/2018,,,,,,,0
7,7A,-0.3110146,-75.625574,07/04/2018,09/05/2018,07/31/2018,08/17/2018,,,,,46
7,7B,-0.3110146,-75.625574,07/04/2018,07/22/2018,,,,,,,18
8,8A,-0.311621,-75.647736,07/05/2018,09/28/2018,07/17/2018,08/11/2018,,,,,60
8,8B,-0.311621,-75.647736,07/05/2018,09/28/2018,,,,,,,85
9,9A,-0.2948174,-75.638389,07/05/2018,09/28/2018,,,,,,,85
9,9B,-0.2948174,-75.638389,07/05/2018,09/27/2018,,,,,,,84
10,10A,-0.347342,-75.668265,07/03/2018,07/21/2018,,,,,,,18
10,10B,-0.347342,-75.668265,07/03/2018,09/28/2018,,,,,,,87
11,11A,-0.3266499,-75.665595,07/03/2018,07/29/2018,,,,,,,26
11,11B,-0.3266499,-75.665595,07/03/2018,07/04/2018,,,,,,,1
12,12A,-0.3056427,-75.664788,07/04/2018,09/28/2018,07/30/2018,08/09/2018,,,,,76
12,12B,-0.3056427,-75.664788,07/04/2018,07/20/2018,,,,,,,16
13,13A,-0.2879286,-75.65523,07/04/2018,08/17/2018,07/22/2018,07/27/2018,,,,,39
13,13B,-0.2879286,-75.65523,07/04/2018,09/24/2018,07/21/2018,07/28/2018,08/04/2018,08/10/2018,08/23/2018,08/31/2018,61
14,14A,-0.3474509,-75.68842,07/05/2018,08/17/2018,,,,,,,43
14,14B,-0.3474509,-75.68842,07/05/2018,07/05/2018,,,,,,,0
15,15A,-0.3279468,-75.685591,07/05/2018,09/09/2018,08/02/2018,08/22/2018,,,,,46
15,15B,-0.3279468,-75.685591,07/05/2018,09/25/2018,08/10/2018,08/22/2018,,,,,70
16,16A,-0.3108065,-75.681072,07/05/2018,09/29/2018,08/29/2018,09/23/2018,,,,,61
16,16B,-0.3108065,-75.681072,07/05/2018,09/01/2018,,,,,,,58
17,17A,-0.2913461,-75.675559,07/05/2018,09/28/2018,07/18/2018,07/31/2018,08/13/2018,08/18/2018,,,67
17,17B,-0.2913461,-75.675559,07/05/2018,09/28/2018,07/05/2018,07/14/2018,,,,,76
18,18A,-0.2913924,-75.693832,07/08/2018,09/18/2018,,,,,,,72
18,18B,-0.2913924,-75.693832,07/08/2018,09/18/2018,07/19/2018,08/10/2018,,,,,50
19,19A,-0.3105419,-75.699043,07/06/2018,08/06/2018,,,,,,,31
19,19B,-0.3105419,-75.699043,07/06/2018,07/06/2018,,,,,,,0
20,20A,-0.3329209,-75.703019,07/06/2018,07/06/2018,,,,,,,0
20,20B,-0.3329209,-75.703019,07/08/2018,09/03/2018,,,,,,,57
21,21A,-0.2704756,-75.695876,07/06/2018,08/30/2018,07/28/2018,08/06/2018,,,,,46
21,21B,-0.2704756,-75.695876,07/06/2018,10/02/2018,07/28/2018,08/06/2018,,,,,79
22,22A,-0.2720679,-75.676593,07/06/2018,10/02/2018,,,,,,,88
22,22B,-0.2720679,-75.676593,07/06/2018,07/15/2018,,,,,,,9
23,23A,-0.3137281,-75.720214,07/06/2018,07/06/2018,,,,,,,0
23,23B,-0.3137281,-75.720214,07/06/2018,08/30/2018,,,,,,,55
24,24A,-0.3174331,-75.735311,07/14/2018,08/23/2018,,,,,,,40
24,24B,-0.3174331,-75.735311,07/06/2018,10/09/2018,,,,,,,95
25,25A,-0.3002043,-75.724032,07/08/2018,09/30/2018,,,,,,,84
25,25B,-0.3002043,-75.724032,07/06/2018,07/06/2018,,,,,,,0
26,26A,-0.2845973,-75.71331,07/06/2018,10/04/2018,08/13/2018,08/24/2018,08/31/2018,09/29/2018,,,50
26,26B,-0.2845973,-75.71331,07/06/2018,09/28/2018,07/27/2018,08/24/2018,,,,,56
27,27A,-0.3111467,-75.754517,07/06/2018,07/14/2018,,,,,,,8
27,27B,-0.3111467,-75.754517,07/06/2018,07/25/2018,07/14/2018,07/25/2018,,,,,8
28,28A,-0.2961788,-75.742542,07/06/2018,09/27/2018,,,,,,,83
28,28B,-0.2961788,-75.742542,07/05/2018,07/05/2018,,,,,,,0
29,29A,-0.2737222,-75.732679,07/06/2018,09/27/2018,,,,,,,83
29,29B,-0.2737222,-75.732679,07/06/2018,07/14/2018,,,,,,,8
30,30A,-0.2646804,-75.716577,07/06/2018,07/14/2018,,,,,,,8
30,30B,-0.2646804,-75.716577,07/06/2018,09/27/2018,,,,,,,83