"","CommunityName","Station","Camera","gps_y","gps_x","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to","Total","Obs"
"1","Siona","SNA1","SNA29",-0.234411,-76.434046,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"2","Siona","SNA10","SNA13",-0.192764,-76.4395,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"3","Siona","SNA11","SNA14",-0.174809,-76.446991,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"4","Siona","SNA12","SNA15",-0.188111,-76.460998,"2022-07-30","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"5","Siona","SNA13","SNA16",-0.198657,-76.475564,"2022-07-30","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"6","Siona","SNA14","SNA17",-0.217694,-76.496117,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"7","Siona","SNA15","SNA18",-0.234637,-76.485666,"2022-07-28","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"8","Siona","SNA16","SNA19",-0.232867,-76.506877,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"9","Siona","SNA17","SNA33",-0.19788,-76.495183,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"10","Siona","SNA18","SNA21",-0.20534,-76.513813,"2022-07-28","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"11","Siona","SNA19","SNA22",-0.220377,-76.525161,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"12","Siona","SNA2","SNA31",-0.249522,-76.451389,"2022-07-27","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"13","Siona","SNA20","SNA23",-0.217666,-76.544024,"2022-07-31","2022-11-24","2022-11-18","2022-11-24",NA,NA,NA,NA,6,""
"14","Siona","SNA21","SNA24",-0.199393,-76.533493,"2022-07-28","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"15","Siona","SNA22","SNA25",-0.179847,-76.488493,"2022-07-30","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"16","Siona","SNA23","SNA26",-0.162641,-76.471243,"2022-07-30","2022-11-25","2022-07-30","2022-08-25",NA,NA,NA,NA,26,""
"17","San Pablo","SNA3","SNA32",-0.264434,-76.464566,"2022-07-27","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"18","Siona","SNA4","SNA7",-0.218803,-76.419426,"2022-07-29","2022-11-25","2022-08-23","2022-09-20","2022-10-06","2022-11-03",NA,NA,94,""
"19","Siona","SNA5","SNA8",-0.243805,-76.468671,"2022-07-27","2022-11-23","2022-11-19","2022-11-23",NA,NA,NA,NA,4,"No funciona al momento de retirar"
"20","Siona","SNA6","SNA9",-0.254082,-76.485219,"2022-07-27","2022-11-23",NA,NA,NA,NA,NA,NA,0,""
"21","Siona","SNA7","SNA10",-0.225292,-76.453422,"2022-07-28","2022-11-23","2022-10-12","2022-11-23",NA,NA,NA,NA,42,"No funciona al momento de retirar"
"22","Siona","SNA8","SNA11",-0.212999,-76.438241,"2022-07-30","2022-11-24",NA,NA,NA,NA,NA,NA,0,""
"23","Siona","SNA9","SNA12",-0.198732,-76.423502,"2022-07-29","2022-11-25",NA,NA,NA,NA,NA,NA,0,""
"24","Zabalo","ZAB1","ZAB1A",-0.3585662,-75.650566,"2018-07-04","2018-09-08","2018-07-04","2018-08-02","2018-08-10","2018-09-08",NA,NA,8,NA
"25","Zabalo","ZAB1","ZAB1B",-0.3585662,-75.650566,"2018-07-04","2018-09-28","2018-07-20","2018-07-30",NA,NA,NA,NA,76,NA
"26","Zabalo","ZAB2","ZAB2A",-0.3480056,-75.634902,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"27","Zabalo","ZAB2","ZAB2B",-0.3480056,-75.634902,"2018-07-04","2018-08-17",NA,NA,NA,NA,NA,NA,44,NA
"28","Zabalo","ZAB3","ZAB3A",-0.3358528,-75.619194,"2018-07-04","2018-09-28","2018-07-31","2018-08-06",NA,NA,NA,NA,80,NA
"29","Zabalo","ZAB3","ZAB3B",-0.3358528,-75.619194,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"30","Zabalo","ZAB4","ZAB4A",-0.3183634,-75.608932,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"31","Zabalo","ZAB4","ZAB4B",-0.3183634,-75.608932,"2018-07-04","2018-09-28",NA,NA,NA,NA,NA,NA,86,NA
"32","Zabalo","ZAB5","ZAB5A",-0.3402021,-75.651276,"2018-07-04","2018-08-15","2018-07-14","2018-07-14",NA,NA,NA,NA,42,NA
"33","Zabalo","ZAB6","ZAB6A",-0.3262535,-75.637213,"2018-07-04","2018-07-10","2018-07-07","2018-07-10",NA,NA,NA,NA,3,NA
"34","Zabalo","ZAB7","ZAB7A",-0.3110146,-75.625574,"2018-07-04","2018-09-05","2018-07-31","2018-08-17",NA,NA,NA,NA,46,NA
"35","Zabalo","ZAB7","ZAB7B",-0.3110146,-75.625574,"2018-07-04","2018-07-22",NA,NA,NA,NA,NA,NA,18,NA
"36","Zabalo","ZAB8","ZAB8A",-0.311621,-75.647736,"2018-07-05","2018-09-28","2018-07-17","2018-08-11",NA,NA,NA,NA,60,NA
"37","Zabalo","ZAB8","ZAB8B",-0.311621,-75.647736,"2018-07-05","2018-09-28",NA,NA,NA,NA,NA,NA,85,NA
"38","Zabalo","ZAB9","ZAB9A",-0.2948174,-75.638389,"2018-07-05","2018-09-28",NA,NA,NA,NA,NA,NA,85,NA
"39","Zabalo","ZAB9","ZAB9B",-0.2948174,-75.638389,"2018-07-05","2018-09-27",NA,NA,NA,NA,NA,NA,84,NA
"40","Zabalo","ZAB10","ZAB10A",-0.347342,-75.668265,"2018-07-03","2018-07-21",NA,NA,NA,NA,NA,NA,18,NA
"41","Zabalo","ZAB10","ZAB10B",-0.347342,-75.668265,"2018-07-03","2018-09-28",NA,NA,NA,NA,NA,NA,87,NA
"42","Zabalo","ZAB11","ZAB11A",-0.3266499,-75.665595,"2018-07-03","2018-07-29",NA,NA,NA,NA,NA,NA,26,NA
"43","Zabalo","ZAB11","ZAB11B",-0.3266499,-75.665595,"2018-07-03","2018-07-04",NA,NA,NA,NA,NA,NA,1,NA
"44","Zabalo","ZAB12","ZAB12A",-0.3056427,-75.664788,"2018-07-04","2018-09-28","2018-07-30","2018-08-09",NA,NA,NA,NA,76,NA
"45","Zabalo","ZAB12","ZAB12B",-0.3056427,-75.664788,"2018-07-04","2018-07-20",NA,NA,NA,NA,NA,NA,16,NA
"46","Zabalo","ZAB13","ZAB13A",-0.2879286,-75.65523,"2018-07-04","2018-08-17","2018-07-22","2018-07-27",NA,NA,NA,NA,39,NA
"47","Zabalo","ZAB13","ZAB13B",-0.2879286,-75.65523,"2018-07-04","2018-09-24","2018-07-21","2018-07-28","2018-08-04","2018-08-10","2018-08-23","2018-08-31",61,NA
"48","Zabalo","ZAB14","ZAB14A",-0.3474509,-75.68842,"2018-07-05","2018-08-17",NA,NA,NA,NA,NA,NA,43,NA
"49","Zabalo","ZAB15","ZAB15A",-0.3279468,-75.685591,"2018-07-05","2018-09-09","2018-08-02","2018-08-22",NA,NA,NA,NA,46,NA
"50","Zabalo","ZAB15","ZAB15B",-0.3279468,-75.685591,"2018-07-05","2018-09-25","2018-08-10","2018-08-22",NA,NA,NA,NA,70,NA
"51","Zabalo","ZAB16","ZAB16A",-0.3108065,-75.681072,"2018-07-05","2018-09-29","2018-08-29","2018-09-23",NA,NA,NA,NA,61,NA
"52","Zabalo","ZAB16","ZAB16B",-0.3108065,-75.681072,"2018-07-05","2018-09-01",NA,NA,NA,NA,NA,NA,58,NA
"53","Zabalo","ZAB17","ZAB17A",-0.2913461,-75.675559,"2018-07-05","2018-09-28","2018-07-18","2018-07-31","2018-08-13","2018-08-18",NA,NA,67,NA
"54","Zabalo","ZAB17","ZAB17B",-0.2913461,-75.675559,"2018-07-05","2018-09-28","2018-07-05","2018-07-14",NA,NA,NA,NA,76,NA
"55","Zabalo","ZAB18","ZAB18A",-0.2913924,-75.693832,"2018-07-08","2018-09-18",NA,NA,NA,NA,NA,NA,72,NA
"56","Zabalo","ZAB18","ZAB18B",-0.2913924,-75.693832,"2018-07-08","2018-09-18","2018-07-19","2018-08-10",NA,NA,NA,NA,50,NA
"57","Zabalo","ZAB19","ZAB19A",-0.3105419,-75.699043,"2018-07-06","2018-08-06",NA,NA,NA,NA,NA,NA,31,NA
"58","Zabalo","ZAB20","ZAB20B",-0.3329209,-75.703019,"2018-07-08","2018-09-03",NA,NA,NA,NA,NA,NA,57,NA
"59","Zabalo","ZAB21","ZAB21A",-0.2704756,-75.695876,"2018-07-06","2018-08-30","2018-07-28","2018-08-06",NA,NA,NA,NA,46,NA
"60","Zabalo","ZAB21","ZAB21B",-0.2704756,-75.695876,"2018-07-06","2018-10-02","2018-07-28","2018-08-06",NA,NA,NA,NA,79,NA
"61","Zabalo","ZAB22","ZAB22A",-0.2720679,-75.676593,"2018-07-06","2018-10-02",NA,NA,NA,NA,NA,NA,88,NA
"62","Zabalo","ZAB22","ZAB22B",-0.2720679,-75.676593,"2018-07-06","2018-07-15",NA,NA,NA,NA,NA,NA,9,NA
"63","Zabalo","ZAB23","ZAB23B",-0.3137281,-75.720214,"2018-07-06","2018-08-30",NA,NA,NA,NA,NA,NA,55,NA
"64","Zabalo","ZAB24","ZAB24A",-0.3174331,-75.735311,"2018-07-14","2018-08-23",NA,NA,NA,NA,NA,NA,40,NA
"65","Zabalo","ZAB24","ZAB24B",-0.3174331,-75.735311,"2018-07-06","2018-10-09",NA,NA,NA,NA,NA,NA,95,NA
"66","Zabalo","ZAB25","ZAB25A",-0.3002043,-75.724032,"2018-07-08","2018-09-30",NA,NA,NA,NA,NA,NA,84,NA
"67","Zabalo","ZAB26","ZAB26A",-0.2845973,-75.71331,"2018-07-06","2018-10-04","2018-08-13","2018-08-24","2018-08-31","2018-09-29",NA,NA,50,NA
"68","Zabalo","ZAB26","ZAB26B",-0.2845973,-75.71331,"2018-07-06","2018-09-28","2018-07-27","2018-08-24",NA,NA,NA,NA,56,NA
"69","Zabalo","ZAB27","ZAB27A",-0.3111467,-75.754517,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"70","Zabalo","ZAB27","ZAB27B",-0.3111467,-75.754517,"2018-07-06","2018-07-25","2018-07-14","2018-07-25",NA,NA,NA,NA,8,NA
"71","Zabalo","ZAB28","ZAB28A",-0.2961788,-75.742542,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"72","Zabalo","ZAB29","ZAB29A",-0.2737222,-75.732679,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"73","Zabalo","ZAB29","ZAB29B",-0.2737222,-75.732679,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"74","Zabalo","ZAB30","ZAB30A",-0.2646804,-75.716577,"2018-07-06","2018-07-14",NA,NA,NA,NA,NA,NA,8,NA
"75","Zabalo","ZAB30","ZAB30B",-0.2646804,-75.716577,"2018-07-06","2018-09-27",NA,NA,NA,NA,NA,NA,83,NA
"76","Sinangoe","SGE1","SGE1",0.098522,-77.400573,"2022-08-06","2022-12-01","2022-11-19","2022-12-01",NA,NA,NA,NA,NA,"No funciona al retirar"
"77","Sinangoe","SGE10","SGE10",0.092618,-77.462402,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"78","Sinangoe","SGE11","SGE11",0.035216,-77.424898,"2022-08-08","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"79","Sinangoe","SGE12","SGE12",0.133207,-77.449472,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"80","Sinangoe","SGE13","SGE13",0.118916,-77.464612,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"81","Sinangoe","SGE14","SGE14",0.10723,-77.47791,"2022-08-07","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"82","Sinangoe","SGE15","SGE15",0.14866,-77.460674,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"83","Sinangoe","SGE16","SGE16",0.135232,-77.475584,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"84","Sinangoe","SGE17","SGE17",0.125354,-77.494292,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"85","Sinangoe","SGE18","SGE18",0.165074,-77.471737,"2022-08-07","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"86","Sinangoe","SGE19","SGE19",0.154599,-77.489609,"2022-08-07","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"87","Sinangoe","SGE2","SGE2",0.085779,-77.415687,"2022-08-06","2022-11-24","2022-08-06","2022-11-24",NA,NA,NA,NA,NA,"Robada"
"88","Sinangoe","SGE20","SGE20",0.142295,-77.500417,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"89","Sinangoe","SGE21","SGE21",0.14781,-77.517342,"2022-08-08","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"90","Sinangoe","SGE22","SGE22",0.176118,-77.493863,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,""
"91","Sinangoe","SGE23","SGE23",0.159729,-77.50468,"2022-08-05","2022-11-29",NA,NA,NA,NA,NA,NA,NA,"No funciona al retirar"
"92","Sinangoe","SGE24","SGE24",0.185664,-77.503586,"2022-08-02","2022-11-28","2022-11-22","2022-11-28",NA,NA,NA,NA,NA,""
"93","Sinangoe","SGE25","SGE25",0.173697,-77.519313,"2022-08-05","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"94","Sinangoe","SGE26","SGE26",0.159551,-77.533424,"2022-08-05","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"95","Sinangoe","SGE27","SGE27",0.199143,-77.508259,"2022-08-04","2022-11-28","2022-10-31","2022-11-28",NA,NA,NA,NA,NA,"No funciona al retirar"
"96","Sinangoe","SGE28","SGE28",0.195626,-77.525645,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"97","Sinangoe","SGE29","SGE29",0.221652,-77.5172,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"98","Sinangoe","SGE3","SGE3",0.085066,-77.444334,"2022-08-10","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"99","Sinangoe","SGE30","SGE30",0.221511,-77.536142,"2022-08-04","2022-11-28",NA,NA,NA,NA,NA,NA,NA,""
"100","Sinangoe","SGE4","SGE4",0.076542,-77.430379,"2022-08-06","2022-12-01",NA,NA,NA,NA,NA,NA,NA,""
"101","Sinangoe","SGE5","SGE5",0.110194,-77.417214,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"102","Sinangoe","SGE6","SGE6",0.097659,-77.432182,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"103","Sinangoe","SGE7","SGE7",0.034581,-77.439202,"2022-08-08","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"104","Sinangoe","SGE8","SGE8",0.120646,-77.434462,"2022-08-03","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"105","Sinangoe","SGE9","SGE9",0.106699,-77.4491,"2022-08-06","2022-11-30",NA,NA,NA,NA,NA,NA,NA,""
"106","Remolino","SKP1","SKP75",-0.307,-76.242,"2022-07-14","2022-11-22","2022-07-30","2022-09-20",NA,NA,NA,NA,52,"No funciona, se  cambia, tampoco funciona"
"107","Remolino","SKP10","SKP35",-0.373,-76.275,"2022-07-16","2022-11-19","2022-08-09","2022-11-19",NA,NA,NA,NA,102,"Pantalla negra"
"108","Remolino","SKP11","SKP36",-0.303,-76.303,"2022-07-18","2022-11-16","2022-08-01","2022-11-06",NA,NA,NA,NA,97,"No funciona, se  cambia, tampoco funciona"
"109","Remolino","SKP12","SKP37",-0.321,-76.301,"2022-07-18","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"110","Remolino","SKP13","SKP38",-0.342,-76.297,"2022-07-18","2022-11-16","2022-08-07","2022-11-16",NA,NA,NA,NA,101,"Sin problemas / Posible no laprendieron en la revisión"
"111","Remolino","SKP14","SKP39",-0.313,-76.32,"2022-07-16","2022-11-17","2022-08-09","2022-09-28",NA,NA,NA,NA,50,""
"112","Remolino","SKP15","SKP40",-0.373,-76.294,"2022-07-16","2022-11-19","2022-08-11","2022-11-19",NA,NA,NA,NA,100,"Con bateria pero pantalla negra al retirar"
"113","Remolino","SKP16","SKP41",-0.316,-76.342,"2022-07-14","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"114","Remolino","SKP17","SKP42",-0.336,-76.339,"2022-07-18","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"115","Remolino","SKP18","SKP43",-0.351,-76.328,"2022-07-18","2022-11-17","2022-10-16","2022-11-17",NA,NA,NA,NA,32,"No funciona al retirar"
"116","Remolino","SKP19","SKP44",-0.317,-76.361,"2022-07-14","2022-11-16",NA,NA,NA,NA,NA,NA,0,""
"117","Remolino","SKP2","SKP45",-0.298839,-76.265275,"2022-07-20","2022-11-24","2022-08-18","2022-11-24",NA,NA,NA,NA,98,""
"118","Remolino","SKP20","SKP46",-0.32,-76.387,"2022-07-14","2022-11-16","2022-10-19","2022-11-16",NA,NA,NA,NA,28,"No funciona al retirar"
"119","Remolino","SKP21","SKP47",-0.347,-76.404,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"120","Remolino","SKP22","SKP48",-0.347,-76.387,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"121","Remolino","SKP23","SKP49",-0.363,-76.406,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"122","Remolino","SKP24","SKP50",-0.362,-76.378,"2022-07-19","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"123","Remolino","SKP25","SKP51",-0.384,-76.4,"2022-07-15","2022-11-18","2022-07-15","2022-11-18",NA,NA,NA,NA,126,"Robada"
"124","Remolino","SKP26","SKP52",-0.385,-76.38,"2022-07-15","2022-11-18",NA,NA,NA,NA,NA,NA,0,""
"125","Remolino","SKP27","SKP53",-0.389,-76.356,"2022-07-17","2022-11-20",NA,NA,NA,NA,NA,NA,0,"Con bateri / pantalla negra"
"126","Remolino","SKP28","SKP54",-0.396,-76.29,"2022-07-17","2022-11-20",NA,NA,NA,NA,NA,NA,0,"con batería / panatalla negra"
"127","Remolino","SKP29","SKP55",-0.397,-76.273,"2022-07-17","2022-11-19",NA,NA,NA,NA,NA,NA,0,""
"128","Remolino","SKP3","SKP57",-0.319,-76.26,"2022-07-14","2022-11-21","2022-08-08","2022-11-21",NA,NA,NA,NA,105,""
"129","Remolino","SKP30","SKP58",-0.389,-76.253,"2022-07-17","2022-11-19","2022-07-17","2022-11-19",NA,NA,NA,NA,125,"Pantalla negra-memoria vacia"
"130","San Pablo","SKP31","SKP59",-0.306,-76.422,"2022-07-17","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"131","San Pablo","SKP32","SKP60",-0.293,-76.442,"2022-07-17","2022-11-16","2022-07-17","2022-08-25",NA,NA,NA,NA,39,""
"132","San Pablo","SKP33","SKP61",-0.283,-76.461,"2022-07-21","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"133","San Pablo","SKP34","SKP62",-0.274,-76.438,"2022-07-21","2022-11-15",NA,NA,NA,NA,NA,NA,0,""
"134","San Pablo","SKP35","SKP63",-0.276,-76.41,"2022-07-21","2022-11-16","2022-10-26","2022-11-16",NA,NA,NA,NA,21,"No funsiona al retirar"
"135","San Pablo","SKP36","SKP64",-0.256,-76.415,"2022-07-21","2022-11-16","2022-07-21","2022-11-16",NA,NA,NA,NA,118,"Robada"
"136","San Pablo","SKP37","SKP65",-0.254,-76.434,"2022-07-21","2022-11-16","2022-10-20","2022-11-16",NA,NA,NA,NA,27,"No funsiona al retirar"
"137","Remolino","SKP4","SKP66",-0.343,-76.255,"2022-07-16","2022-11-21","2022-08-06","2022-11-21",NA,NA,NA,NA,107,"Se enciontro 50 m alejado del sitio que se coloco"
"138","Remolino","SKP5","SKP67",-0.365,-76.255,"2022-07-16","2022-11-19","2022-08-08","2022-11-19",NA,NA,NA,NA,103,""
"139","Remolino","SKP6","SKP68",-0.298,-76.285,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"140","Remolino","SKP7","SKP69",-0.316,-76.281,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"141","Remolino","SKP8","SKP70",-0.336,-76.277,"2022-07-14","2022-11-17",NA,NA,NA,NA,NA,NA,0,""
"142","Remolino","SKP9","SKP77",-0.354128,-76.27821,"2022-07-25","2022-11-14","2022-09-05","2022-11-14",NA,NA,NA,NA,70,""
