Community,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai,Siekopai
InOut,Outside,Outside,Outside,Outside,Outside,Outside,Outside,Outside,,Inside,Inside,Inside,Inside,Inside,Inside,Inside,Inside
Year,1985,1990,1995,2000,2005,2010,2015,2020,,1985,1990,1995,2000,2005,2010,2015,2020
ForestFormation,22990658,22599812,22481572,20647649,20718785,20460264,20229266,19869435,,299118,299789,299771,296319,295674,293604,294237,292627
FloodedForest,1383830,1325216,1378879,1436826,1447695,1471247,1568130,1559015,,76,,,6,17,27,6,36
Wetland,7837,7290,11302,11359,11616,12627,9785,11155,,,,,,,,,
Grassland,,,,,,,,,,,,,,,,,
OtherNonForestNaturalArea,,,,,,,,,,,,,,,,,
Farming,1338787,1765053,1817046,3800658,3725083,3958585,4066383,4391874,,379,617,626,4021,4715,6757,6178,7731
UrbanInfrastructure,44239,58425,60154,70245,88347,111528,124554,143552,,12,46,58,37,29,30,32,69
OtherNonVegetatedArea,241492,273081,280846,65804,43322,35340,41543,62134,,87,49,49,50,,,,
NonObserved,102,105,113,92,113,142,133,149,,,,,,5,78,,
Water,498882,534688,533758,530991,528578,513818,523569,525673,,121,191,188,259,252,196,239,229
Glacier,,,,,,,,,,,,,,,,,
Mining,,,,46,131,119,307,683,,,,,,,,,
Total,26505827,26563670,26563670,26563670,26563670,26563670,26563670,26563670,,299793,300692,300692,300692,300692,300692,300692,300692
CombinedNaturalArea,24382325,23932318,23871753,22095834,22178096,21944138,21807181,21439605,,299194,299789,299771,296325,295691,293631,294243,292663
CombinedNonNaturalArea,1624518,2096559,2158046,3936753,3856883,4105572,4232787,4598243,,478,712,733,4108,4744,6787,6210,7800
PercentNaturalArea,91.98854652,90.09416997,89.8661706,83.18065237,83.49033097,82.6095867,82.09400659,80.71025201,,99.80019547,99.69969271,99.69370652,98.54768334,98.33683636,97.65174996,97.85528049,97.32982587
PercentNonNaturalArea,6.128908938,7.892580355,8.12405063,14.8200644,14.51939058,15.45559029,15.93449625,17.31027,,0.159443349,0.236787144,0.243771035,1.366182007,1.577694119,2.257126894,2.065236189,2.594016469