Community,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo,Zabalo
InOut,Outside,Outside,Outside,Outside,Outside,Outside,Outside,Outside,,Inside,Inside,Inside,Inside,Inside,Inside,Inside,Inside
Year,1985,1990,1995,2000,2005,2010,2015,2020,,1985,1990,1995,2000,2005,2010,2015,2020
ForestFormation,30814657,30949272,30942585,30242926,30229679,30112512,29762366,29785270,,1333097,1342779,1338461,1324182,1325531,1323072,1312726,1289582
FloodedForest,3487433,3401022,3399510,3493345,3450780,3431135,3717779,3406412,,192625,183829,188423,202154,200536,203268,213817,234698
Wetland,6763,2843,9873,12032,15166,17027,13273,14814,,16,,34,37,31,21,8,15
Grassland,,,,,,,,,,,,,,,,,
OtherNonForestNaturalArea,,,,,,,,,,,,,,,,,
Farming,382935,385475,403680,1015098,1088863,1229250,1291375,1547176,,95,12,,758,1028,901,894,3181
UrbanInfrastructure,6390,9106,10893,12186,14694,17193,19274,22835,,,,14,15,23,22,10,21
OtherNonVegetatedArea,76716,50165,48847,39264,26857,29667,30994,44021,,533,11,16,57,234,370,164,398
NonObserved,170,142,167,148,157,209,261,286,,1,1,,,,,4,4
Water,680724,692302,674772,675328,664105,653292,654952,669353,,9228,10399,10083,9828,9648,9377,9408,9132
Glacier,,,,,,,,,,,,,,,,,
Mining,,,,,26,42,53,160,,,,,,,,,
Total,35455788,35490327,35490327,35490327,35490327,35490327,35490327,35490327,,1535595,1537031,1537031,1537031,1537031,1537031,1537031,1537031
CombinedNaturalArea,34308853,34353137,34351968,33748303,33695625,33560674,33493418,33206496,,1525738,1526608,1526918,1526373,1526098,1526361,1526551,1524295
CombinedNonNaturalArea,389325,394581,414573,1027284,1103583,1246485,1310702,1570171,,95,12,14,773,1051,923,904,3202
PercentNaturalArea,96.7651685,96.7957748,96.79248095,95.09155269,94.94312352,94.56287625,94.37337109,93.56491982,,99.35809898,99.32187444,99.3420432,99.30658523,99.28869359,99.3058045,99.318166,99.17138952
PercentNonNaturalArea,1.098057671,1.111798716,1.168129558,2.894546449,3.109531789,3.512182348,3.693124608,4.424222409,,0.006186527,0.000780726,0.000910847,0.050291764,0.068378582,0.060050838,0.058814689,0.20832371