Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Total,
SKP1,75,-0.307,-76.242,14/7/2022,22/11/2022,30/7/2022,20/9/2022,52,"No funciona, se  cambia, tampoco funciona"
SKP10,35,-0.373,-76.275,16/7/2022,19/11/2022,9/8/22,19/11/2022,102,Pantalla negra
SKP11,36,-0.303,-76.303,18/7/2022,16/11/2022,1/8/22,6/11/22,97,"No funciona, se  cambia, tampoco funciona"
SKP12,37,-0.321,-76.301,18/7/2022,16/11/2022,,,0,
SKP13,38,-0.342,-76.297,18/7/2022,16/11/2022,7/8/22,16/11/2022,101,Sin problemas / Posible no laprendieron en la revisión
SKP14,39,-0.313,-76.32,16/7/2022,17/11/2022,9/8/22,28/9/2022,50,
SKP15,40,-0.373,-76.294,16/7/2022,19/11/2022,11/8/22,19/11/2022,100,Con bateria pero pantalla negra al retirar
SKP16,41,-0.316,-76.342,14/7/2022,16/11/2022,,,0,
SKP17,42,-0.336,-76.339,18/7/2022,17/11/2022,,,0,
SKP18,43,-0.351,-76.328,18/7/2022,17/11/2022,16/10/2022,17/11/2022,32,No funciona al retirar
SKP19,44,-0.317,-76.361,14/7/2022,16/11/2022,,,0,
SKP2,45,-0.298839,-76.265275,20/7/2022,24/11/2022,18/8/2022,24/11/2022,98,
SKP20,46,-0.32,-76.387,14/7/2022,16/11/2022,19/10/2022,16/11/2022,28,No funciona al retirar
SKP21,47,-0.347,-76.404,19/7/2022,17/11/2022,,,0,
SKP22,48,-0.347,-76.387,19/7/2022,17/11/2022,,,0,
SKP23,49,-0.363,-76.406,19/7/2022,17/11/2022,,,0,
SKP24,50,-0.362,-76.378,19/7/2022,17/11/2022,,,0,
SKP25,51,-0.384,-76.4,15/7/2022,18/11/2022,15/7/2022,18/11/2022,126,Robada
SKP26,52,-0.385,-76.38,15/7/2022,18/11/2022,,,0,
SKP27,53,-0.389,-76.356,17/7/2022,20/11/2022,,,0,Con bateri / pantalla negra
SKP28,54,-0.396,-76.29,17/7/2022,20/11/2022,,,0,con batería / panatalla negra
SKP29,55,-0.397,-76.273,17/7/2022,19/11/2022,,,0,
SKP3,57,-0.319,-76.26,14/7/2022,21/11/2022,8/8/22,21/11/2022,105,
SKP30,58,-0.389,-76.253,17/7/2022,19/11/2022,17/7/2022,19/11/2022,125,Pantalla negra-memoria vacia
SKP31,59,-0.306,-76.422,17/7/2022,15/11/2022,,,0,
SKP32,60,-0.293,-76.442,17/7/2022,16/11/2022,17/7/2022,25/8/2022,39,
SKP33,61,-0.283,-76.461,21/7/2022,15/11/2022,,,0,
SKP34,62,-0.274,-76.438,21/7/2022,15/11/2022,,,0,
SKP35,63,-0.276,-76.41,21/7/2022,16/11/2022,26/10/2022,16/11/2022,21,No funsiona al retirar
SKP36,64,-0.256,-76.415,21/7/2022,16/11/2022,21/7/2022,16/11/2022,118,Robada
SKP37,65,-0.254,-76.434,21/7/2022,16/11/2022,20/10/2022,16/11/2022,27,No funsiona al retirar
SKP4,66,-0.343,-76.255,16/7/2022,21/11/2022,6/8/22,21/11/2022,107,Se enciontro 50 m alejado del sitio que se coloco
SKP5,67,-0.365,-76.255,16/7/2022,19/11/2022,8/8/22,19/11/2022,103,
SKP6,68,-0.298,-76.285,14/7/2022,17/11/2022,,,0,
SKP7,69,-0.316,-76.281,14/7/2022,17/11/2022,,,0,
SKP8,70,-0.336,-76.277,14/7/2022,17/11/2022,,,0,
SKP9,77,-0.354128,-76.27821,25/7/2022,14/11/2022,5/9/22,14/11/2022,70,