"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"236",22,"22A","Dicotyles tajacu",2018-07-23 07:29:59,2018-07-23,"7:29:59"
"237",22,"22A","Dicotyles tajacu",2018-07-23 08:19:35,2018-07-23,"8:19:35"
"238",8,"8B","Mazama gouazoubira",2018-07-23 11:11:36,2018-07-23,"11:11:36"
"239",2,"2A","Panthera onca",2018-07-23 12:30:17,2018-07-23,"12:30:17"
"240",8,"8B","Mazama gouazoubira",2018-07-23 12:53:36,2018-07-23,"12:53:36"
"241",16,"16A","Dasyprocta fuliginosa",2018-07-23 13:03:14,2018-07-23,"13:03:14"
"242",20,"20B","Tayassu pecari",2018-07-23 16:48:36,2018-07-23,"16:48:36"
"243",30,"30B","Mazama gouazoubira",2018-07-24 10:01:32,2018-07-24,"10:01:32"
"244",8,"8B","Mazama gouazoubira",2018-07-24 10:21:28,2018-07-24,"10:21:28"
"245",15,"15A","Mazama gouazoubira",2018-07-24 12:09:03,2018-07-24,"12:09:03"
"246",9,"9B","Psophia crepitans",2018-07-24 17:28:09,2018-07-24,"17:28:09"
"247",24,"24A","Cuniculus paca",2018-07-25 01:18:51,2018-07-25,"1:18:51"
"248",9,"9B","Mazama americana",2018-07-25 05:35:35,2018-07-25,"5:35:35"
"249",7,"7A","Dicotyles tajacu",2018-07-25 05:53:41,2018-07-25,"5:53:41"
"250",24,"24A","Dasyprocta fuliginosa",2018-07-25 06:48:44,2018-07-25,"6:48:44"
"251",8,"8B","Mazama americana",2018-07-25 10:40:16,2018-07-25,"10:40:16"
"252",14,"14A","Dasyprocta fuliginosa",2018-07-25 15:09:13,2018-07-25,"15:09:13"
"253",28,"28A","Psophia crepitans",2018-07-25 16:24:16,2018-07-25,"16:24:16"
"254",2,"2B","Atelocynus microtis",2018-07-26 00:01:40,2018-07-26,"0:01:40"
"255",20,"20B","Dicotyles tajacu",2018-07-26 07:02:36,2018-07-26,"7:02:36"
"256",20,"20A","Tayassu pecari",2018-07-26 07:02:36,2018-07-26,"7:02:36"
"257",8,"8B","Mazama gouazoubira",2018-07-26 09:09:27,2018-07-26,"9:09:27"
"258",21,"21A","Dasyprocta fuliginosa",2018-07-26 12:12:43,2018-07-26,"12:12:43"
"259",8,"8B","Mazama gouazoubira",2018-07-26 15:40:37,2018-07-26,"15:40:37"
"260",12,"12A","Dasyprocta fuliginosa",2018-07-26 16:02:34,2018-07-26,"16:02:34"
"261",12,"12A","Psophia crepitans",2018-07-26 16:05:24,2018-07-26,"16:05:24"
"262",22,"22A","Mitu salvini",2018-07-26 17:09:07,2018-07-26,"17:09:07"
"263",18,"18A","Dasyprocta fuliginosa",2018-07-26 17:41:51,2018-07-26,"17:41:51"
"264",22,"22A","Mazama americana",2018-07-26 21:06:12,2018-07-26,"21:06:12"
"265",24,"24A","Cuniculus paca",2018-07-26 23:37:35,2018-07-26,"23:37:35"
"266",18,"18A","Tayassu pecari",2018-07-27 07:37:51,2018-07-27,"7:37:51"
"267",3,"3A","Myrmecophaga tridactyla",2018-07-27 09:52:14,2018-07-27,"9:52:14"
"268",26,"26B","Dicotyles tajacu",2018-07-27 11:34:34,2018-07-27,"11:34:34"
"269",8,"8B","Mazama americana",2018-07-27 12:32:27,2018-07-27,"12:32:27"
"270",28,"28A","Tayassu pecari",2018-07-27 16:45:01,2018-07-27,"16:45:01"
"271",18,"18A","Dasyprocta fuliginosa",2018-07-27 18:01:51,2018-07-27,"18:01:51"
"272",24,"24A","Cuniculus paca",2018-07-27 19:22:33,2018-07-27,"19:22:33"
"273",21,"21B","Dasypus novemcinctus",2018-07-27 19:24:52,2018-07-27,"19:24:52"
"274",22,"22A","Mazama americana",2018-07-27 21:24:30,2018-07-27,"21:24:30"
"275",3,"3B","Cuniculus paca",2018-07-27 22:36:23,2018-07-27,"22:36:23"
"276",8,"8B","Mazama gouazoubira",2018-07-28 05:05:00,2018-07-28,"5:05:00"
"277",8,"8B","Mazama gouazoubira",2018-07-28 06:16:22,2018-07-28,"6:16:22"
"278",21,"21B","Mitu salvini",2018-07-28 06:30:15,2018-07-28,"6:30:15"
"279",4,"4B","Atelocynus microtis",2018-07-28 06:43:58,2018-07-28,"6:43:58"
"280",8,"8B","Dasyprocta fuliginosa",2018-07-28 07:28:03,2018-07-28,"7:28:03"
"281",13,"13A","Tayassu pecari",2018-07-28 09:26:41,2018-07-28,"9:26:41"
"282",13,"13B","Dicotyles tajacu",2018-07-28 09:27:04,2018-07-28,"9:27:04"
"283",21,"21A","Dasyprocta fuliginosa",2018-07-28 10:53:54,2018-07-28,"10:53:54"
"284",22,"22A","Mazama americana",2018-07-28 12:16:48,2018-07-28,"12:16:48"
"285",25,"25A","Mazama gouazoubira",2018-07-28 12:31:56,2018-07-28,"12:31:56"
"286",14,"14A","Dasyprocta fuliginosa",2018-07-28 17:55:29,2018-07-28,"17:55:29"
"287",30,"30B","Atelocynus microtis",2018-07-28 22:51:48,2018-07-28,"22:51:48"
"288",24,"24A","Cuniculus paca",2018-07-28 22:52:12,2018-07-28,"22:52:12"
"289",17,"17B","Mazama americana",2018-07-29 06:06:32,2018-07-29,"6:06:32"
"290",29,"29A","Tayassu pecari",2018-07-29 09:00:38,2018-07-29,"9:00:38"
"291",15,"15B","Cebus albifrons",2018-07-29 10:19:31,2018-07-29,"10:19:31"
"292",4,"4A","Mazama gouazoubira",2018-07-29 16:33:43,2018-07-29,"16:33:43"
"293",11,"11A","Mazama americana",2018-07-29 16:45:14,2018-07-29,"16:45:14"
"294",16,"16A","Nasua nasua",2018-07-29 16:49:26,2018-07-29,"16:49:26"
"295",4,"4B","Tayassu pecari",2018-07-29 22:01:05,2018-07-29,"22:01:05"
"296",30,"30B","Mazama americana",2018-07-29 23:09:57,2018-07-29,"23:09:57"
"297",18,"18A","Cuniculus paca",2018-07-30 03:50:51,2018-07-30,"3:50:51"
"298",24,"24A","Tinamu major",2018-07-30 06:36:34,2018-07-30,"6:36:34"
"299",24,"24B","Crypturellus undulatus",2018-07-30 06:42:39,2018-07-30,"6:42:39"
"300",22,"22A","Tayassu pecari",2018-07-30 06:55:27,2018-07-30,"6:55:27"
"301",30,"30B","Nothocrax urumutum",2018-07-30 08:04:19,2018-07-30,"8:04:19"
"302",22,"22A","Psophia crepitans",2018-07-30 08:32:12,2018-07-30,"8:32:12"
"303",15,"15A","Dicotyles tajacu",2018-07-30 13:04:26,2018-07-30,"13:04:26"
"304",15,"15B","Tayassu pecari",2018-07-30 13:06:20,2018-07-30,"13:06:20"
"305",13,"13B","Dasyprocta fuliginosa",2018-07-30 16:39:58,2018-07-30,"16:39:58"
"306",2,"2B","Mitu salvini",2018-07-30 18:00:12,2018-07-30,"18:00:12"
"307",15,"15B","Tayassu pecari",2018-07-31 04:14:36,2018-07-31,"4:14:36"
"308",24,"24A","Tinamu major",2018-07-31 06:53:05,2018-07-31,"6:53:05"
"309",22,"22A","Psophia crepitans",2018-07-31 08:06:37,2018-07-31,"8:06:37"
"310",7,"7A","Nothocrax urumutum",2018-07-31 09:42:07,2018-07-31,"9:42:07"
"311",3,"3A","Tayassu pecari",2018-07-31 13:55:06,2018-07-31,"13:55:06"
"312",3,"3A","Dicotyles tajacu",2018-07-31 14:01:31,2018-07-31,"14:01:31"
"313",18,"18A","Dasyprocta fuliginosa",2018-07-31 14:27:51,2018-07-31,"14:27:51"
"314",9,"9A","Mazama gouazoubira",2018-07-31 15:05:53,2018-07-31,"15:05:53"
"315",24,"24B","Cuniculus paca",2018-07-31 20:51:41,2018-07-31,"20:51:41"
"316",22,"22A","Cuniculus paca",2018-07-31 21:50:53,2018-07-31,"21:50:53"
"317",17,"17A","Mazama americana",2018-08-01 06:40:00,2018-08-01,"6:40:00"
"318",8,"8B","Mazama americana",2018-08-01 08:11:39,2018-08-01,"8:11:39"
"319",19,"19A","Tayassu pecari",2018-08-01 10:34:41,2018-08-01,"10:34:41"
"320",2,"2A","Leucopternis melanops",2018-08-01 12:18:30,2018-08-01,"12:18:30"
"321",8,"8B","Dicotyles tajacu",2018-08-01 12:40:05,2018-08-01,"12:40:05"
"322",9,"9B","Psophia crepitans",2018-08-01 15:41:29,2018-08-01,"15:41:29"
"323",4,"4B","Nothocrax urumutum",2018-08-01 17:40:23,2018-08-01,"17:40:23"
"324",9,"9B","Tapirus terrestris",2018-08-01 20:20:39,2018-08-01,"20:20:39"
"325",15,"15A","Mazama gouazoubira",2018-08-02 01:50:14,2018-08-02,"1:50:14"
"326",9,"9B","Tapirus terrestris",2018-08-02 06:21:50,2018-08-02,"6:21:50"
"327",9,"9A","Nasua nasua",2018-08-02 06:56:27,2018-08-02,"6:56:27"
"328",24,"24A","Tayassu pecari",2018-08-02 08:28:57,2018-08-02,"8:28:57"
"329",24,"24B","Dicotyles tajacu",2018-08-02 08:34:42,2018-08-02,"8:34:42"
"330",30,"30B","Mazama gouazoubira",2018-08-02 10:58:30,2018-08-02,"10:58:30"
"331",9,"9A","NA NA",2018-08-02 14:36:10,2018-08-02,"14:36:10"
"332",28,"28A","Mazama gouazoubira",2018-08-02 18:22:49,2018-08-02,"18:22:49"
"333",2,"2B","Cuniculus paca",2018-08-02 19:35:41,2018-08-02,"19:35:41"
"334",9,"9A","Dasypus novemcinctus",2018-08-02 19:48:53,2018-08-02,"19:48:53"
"335",3,"3B","Cuniculus paca",2018-08-02 19:55:49,2018-08-02,"19:55:49"
"336",18,"18A","Atelocynus microtis",2018-08-02 20:38:51,2018-08-02,"20:38:51"
"337",2,"2B","Atelocynus microtis",2018-08-03 01:40:02,2018-08-03,"1:40:02"
"338",1,"1B","Psophia crepitans",2018-08-03 06:38:53,2018-08-03,"6:38:53"
"339",10,"10B","Dicotyles tajacu",2018-08-03 11:07:57,2018-08-03,"11:07:57"
"340",9,"9A","Mazama americana",2018-08-03 12:13:17,2018-08-03,"12:13:17"
"341",13,"13A","Psophia crepitans",2018-08-03 13:58:11,2018-08-03,"13:58:11"
"342",18,"18A","Psophia crepitans",2018-08-03 17:16:51,2018-08-03,"17:16:51"
"343",18,"18A","NA NA",2018-08-03 18:04:51,2018-08-03,"18:04:51"
"344",15,"15B","Mazama gouazoubira",2018-08-04 03:20:15,2018-08-04,"3:20:15"
"345",18,"18A","NAN NAN",2018-08-04 04:29:51,2018-08-04,"4:29:51"
"346",30,"30B","Atelocynus microtis",2018-08-04 05:30:47,2018-08-04,"5:30:47"
"347",29,"29A","Mitu salvini",2018-08-04 08:58:11,2018-08-04,"8:58:11"
"348",8,"8B","Dicotyles tajacu",2018-08-04 10:11:33,2018-08-04,"10:11:33"
"349",29,"29A","Mitu salvini",2018-08-04 10:21:48,2018-08-04,"10:21:48"
"350",22,"22A","Dasyprocta fuliginosa",2018-08-04 11:15:35,2018-08-04,"11:15:35"
"351",22,"22A","Dasyprocta fuliginosa",2018-08-04 14:44:57,2018-08-04,"14:44:57"
"352",2,"2B","Atelocynus microtis",2018-08-04 17:35:23,2018-08-04,"17:35:23"
"353",13,"13A","Dasypus novemcinctus",2018-08-04 21:42:38,2018-08-04,"21:42:38"
"354",17,"17A","Mazama americana",2018-08-04 22:05:00,2018-08-04,"22:05:00"
"355",25,"25A","Leopardus pardalis",2018-08-05 02:16:16,2018-08-05,"2:16:16"
"356",1,"1B","Psophia crepitans",2018-08-05 06:28:33,2018-08-05,"6:28:33"
"357",16,"16A","Mazama gouazoubira",2018-08-05 07:32:41,2018-08-05,"7:32:41"
"358",8,"8B","Mazama gouazoubira",2018-08-05 07:44:58,2018-08-05,"7:44:58"
"359",29,"29A","Mitu salvini",2018-08-05 10:55:47,2018-08-05,"10:55:47"
"360",18,"18A","Dasyprocta fuliginosa",2018-08-05 13:06:51,2018-08-05,"13:06:51"
"361",28,"28A","Myrmecophaga tridactyla",2018-08-05 15:40:23,2018-08-05,"15:40:23"
"362",29,"29A","Nothocrax urumutum",2018-08-05 17:14:03,2018-08-05,"17:14:03"
"363",14,"14A","Cuniculus paca",2018-08-05 23:41:56,2018-08-05,"23:41:56"
"364",25,"25A","Dicotyles tajacu",2018-08-06 06:01:30,2018-08-06,"6:01:30"
"365",25,"25A","Tayassu pecari",2018-08-06 06:04:12,2018-08-06,"6:04:12"
"366",23,"23B","NA NA",2018-08-06 06:21:49,2018-08-06,"6:21:49"
"367",25,"25A","Tayassu pecari",2018-08-06 06:36:27,2018-08-06,"6:36:27"
"368",25,"25A","Dasyprocta fuliginosa",2018-08-06 06:52:50,2018-08-06,"6:52:50"
"369",10,"10B","Dicotyles tajacu",2018-08-06 09:36:29,2018-08-06,"9:36:29"
"370",10,"10A","Dicotyles tajacu",2018-08-06 09:40:00,2018-08-06,"9:40:00"
"371",4,"4A","NA NA",2018-08-06 16:57:10,2018-08-06,"16:57:10"
"372",4,"4A","Psophia crepitans",2018-08-06 17:15:32,2018-08-06,"17:15:32"
"373",21,"21B","Dasypus novemcinctus",2018-08-06 19:08:04,2018-08-06,"19:08:04"
"374",24,"24A","Cuniculus paca",2018-08-06 20:04:05,2018-08-06,"20:04:05"
"375",24,"24A","Cuniculus paca",2018-08-07 00:33:24,2018-08-07,"0:33:24"
"376",4,"4A","Psophia crepitans",2018-08-07 11:13:36,2018-08-07,"11:13:36"
"377",8,"8B","Mazama gouazoubira",2018-08-07 14:17:08,2018-08-07,"14:17:08"
"378",4,"4A","Mazama americana",2018-08-07 15:58:03,2018-08-07,"15:58:03"
"379",4,"4B","Mazama americana",2018-08-07 17:29:38,2018-08-07,"17:29:38"
"380",25,"25A","Dasyprocta fuliginosa",2018-08-07 18:06:27,2018-08-07,"18:06:27"
"381",9,"9A","Cuniculus paca",2018-08-07 20:51:15,2018-08-07,"20:51:15"
"382",4,"4A","Tayassu pecari",2018-08-08 11:02:30,2018-08-08,"11:02:30"
"383",24,"24A","Dasyprocta fuliginosa",2018-08-08 12:20:35,2018-08-08,"12:20:35"
"384",21,"21B","Nasua nasua",2018-08-08 14:20:23,2018-08-08,"14:20:23"
"385",18,"18A","Dasyprocta fuliginosa",2018-08-08 17:32:51,2018-08-08,"17:32:51"
"386",4,"4A","Nasua nasua",2018-08-08 18:15:54,2018-08-08,"18:15:54"
"387",4,"4B","Cebus albifrons",2018-08-08 18:16:30,2018-08-08,"18:16:30"
"388",24,"24A","Cuniculus paca",2018-08-08 22:34:01,2018-08-08,"22:34:01"
"389",30,"30B","Mazama gouazoubira",2018-08-09 03:06:46,2018-08-09,"3:06:46"
"390",8,"8B","Tapirus terrestris",2018-08-09 07:28:13,2018-08-09,"7:28:13"
"391",17,"17B","Psophia crepitans",2018-08-09 09:32:50,2018-08-09,"9:32:50"
"392",2,"2B","Dasyprocta fuliginosa",2018-08-09 11:29:07,2018-08-09,"11:29:07"
"393",4,"4A","Tayassu pecari",2018-08-09 12:40:47,2018-08-09,"12:40:47"
"394",9,"9A","Dicotyles tajacu",2018-08-09 14:55:33,2018-08-09,"14:55:33"
"395",9,"9B","Dasyprocta fuliginosa",2018-08-09 15:02:51,2018-08-09,"15:02:51"
"396",25,"25A","Mitu salvini",2018-08-09 17:53:40,2018-08-09,"17:53:40"
"397",17,"17A","Psophia crepitans",2018-08-10 02:23:00,2018-08-10,"2:23:00"
"398",16,"16A","Mazama gouazoubira",2018-08-10 06:35:37,2018-08-10,"6:35:37"
"399",4,"4A","Dicotyles tajacu",2018-08-10 15:11:20,2018-08-10,"15:11:20"
"400",13,"13A","Mazama gouazoubira",2018-08-10 16:28:00,2018-08-10,"16:28:00"
"401",29,"29A","Tapirus terrestris",2018-08-10 21:39:09,2018-08-10,"21:39:09"
"402",24,"24A","Cuniculus paca",2018-08-10 22:32:02,2018-08-10,"22:32:02"
"403",14,"14A","Dasypus novemcinctus",2018-08-10 23:24:19,2018-08-10,"23:24:19"
"404",29,"29A","Tapirus terrestris",2018-08-11 00:00:57,2018-08-11,"0:00:57"
"405",24,"24A","Tapirus terrestris",2018-08-11 06:38:52,2018-08-11,"6:38:52"
"406",10,"10B","Puma concolor",2018-08-11 09:10:49,2018-08-11,"9:10:49"
"407",28,"28A","Dicotyles tajacu",2018-08-11 09:23:34,2018-08-11,"9:23:34"
"408",28,"28A","Dicotyles tajacu",2018-08-11 12:15:19,2018-08-11,"12:15:19"
"409",20,"20B","Myrmecophaga tridactyla",2018-08-11 13:30:36,2018-08-11,"13:30:36"
"410",24,"24A","Myrmecophaga tridactyla",2018-08-11 16:36:48,2018-08-11,"16:36:48"
"411",3,"3B","Cuniculus paca",2018-08-12 00:20:19,2018-08-12,"0:20:19"
"412",8,"8A","Cuniculus paca",2018-08-12 00:59:09,2018-08-12,"0:59:09"
"413",24,"24A","Penelope jacquacu",2018-08-12 13:25:56,2018-08-12,"13:25:56"
"414",10,"10B","Dicotyles tajacu",2018-08-12 16:40:36,2018-08-12,"16:40:36"
"415",21,"21B","Leopardus pardalis",2018-08-12 21:45:34,2018-08-12,"21:45:34"
"416",13,"13A","Mazama gouazoubira",2018-08-12 22:05:00,2018-08-12,"22:05:00"
"417",22,"22A","Cuniculus paca",2018-08-12 22:20:06,2018-08-12,"22:20:06"
"418",22,"22A","Leopardus pardalis",2018-08-13 00:06:51,2018-08-13,"0:06:51"
"419",12,"12A","Tamandua tetradactyla",2018-08-13 04:16:24,2018-08-13,"4:16:24"
"420",18,"18B","Tamandua tetradactyla",2018-08-13 05:28:00,2018-08-13,"5:28:00"
"421",3,"3B","Mitu salvini",2018-08-13 16:27:26,2018-08-13,"16:27:26"
"422",9,"9A","NAN NAN",2018-08-13 20:50:56,2018-08-13,"20:50:56"
"423",9,"9A","NA NA",2018-08-13 20:50:56,2018-08-13,"20:50:56"
"424",3,"3B","Cuniculus paca",2018-08-13 22:50:24,2018-08-13,"22:50:24"
"425",22,"22A","Dasyprocta fuliginosa",2018-08-14 08:07:08,2018-08-14,"8:07:08"
"426",8,"8A","Dicotyles tajacu",2018-08-14 09:39:12,2018-08-14,"9:39:12"
"427",22,"22A","Dasyprocta fuliginosa",2018-08-14 11:08:04,2018-08-14,"11:08:04"
"428",22,"22A","Dasyprocta fuliginosa",2018-08-14 11:51:14,2018-08-14,"11:51:14"
"429",23,"23B","Tayassu pecari",2018-08-14 11:58:14,2018-08-14,"11:58:14"
"430",4,"4A","Psophia crepitans",2018-08-14 13:47:01,2018-08-14,"13:47:01"
"431",13,"13B","Dasyprocta fuliginosa",2018-08-14 16:03:49,2018-08-14,"16:03:49"
"432",18,"18B","Dasyprocta fuliginosa",2018-08-14 16:05:00,2018-08-14,"16:05:00"
"433",2,"2B","Atelocynus microtis",2018-08-14 18:49:50,2018-08-14,"18:49:50"
"434",4,"4A","Cuniculus paca",2018-08-14 20:09:17,2018-08-14,"20:09:17"
"435",14,"14B","Dasypus novemcinctus",2018-08-15 00:01:00,2018-08-15,"0:01:00"
"436",2,"2B","Dasypus novemcinctus",2018-08-15 02:00:12,2018-08-15,"2:00:12"
"437",13,"13A","Psophia crepitans",2018-08-15 08:17:06,2018-08-15,"8:17:06"
"438",29,"29A","Mitu salvini",2018-08-15 09:23:19,2018-08-15,"9:23:19"
"439",28,"28A","Tayassu pecari",2018-08-15 13:54:21,2018-08-15,"13:54:21"
"440",24,"24A","Penelope jacquacu",2018-08-15 14:23:14,2018-08-15,"14:23:14"
"441",13,"13A","Myrmecophaga tridactyla",2018-08-15 14:32:00,2018-08-15,"14:32:00"
"442",25,"25A","Atelocynus microtis",2018-08-15 17:21:41,2018-08-15,"17:21:41"
"443",30,"30B","Atelocynus microtis",2018-08-15 19:41:48,2018-08-15,"19:41:48"
"444",4,"4A","Cuniculus paca",2018-08-15 22:20:21,2018-08-15,"22:20:21"
"445",14,"14A","Dasypus novemcinctus",2018-08-16 06:15:00,2018-08-16,"6:15:00"
"446",13,"13A","NA NA",2018-08-16 06:40:22,2018-08-16,"6:40:22"
"447",4,"4A","Tayassu pecari",2018-08-16 06:53:45,2018-08-16,"6:53:45"
"448",13,"13A","Psophia crepitans",2018-08-16 09:58:50,2018-08-16,"9:58:50"
"449",23,"23B","Dicotyles tajacu",2018-08-16 15:38:42,2018-08-16,"15:38:42"
"450",18,"18A","Tapirus terrestris",2018-08-16 22:40:51,2018-08-16,"22:40:51"
"451",7,"7A","Tayassu pecari",2018-08-17 07:18:50,2018-08-17,"7:18:50"
"452",23,"23B","NA NA",2018-08-17 17:33:43,2018-08-17,"17:33:43"
"453",21,"21B","Nothocrax urumutum",2018-08-17 18:03:25,2018-08-17,"18:03:25"
"454",22,"22A","Tapirus terrestris",2018-08-18 04:35:57,2018-08-18,"4:35:57"
"455",22,"22A","Mazama gouazoubira",2018-08-18 04:42:35,2018-08-18,"4:42:35"
"456",21,"21B","Mazama gouazoubira",2018-08-18 07:13:13,2018-08-18,"7:13:13"
"457",3,"3A","Tayassu pecari",2018-08-18 09:22:07,2018-08-18,"9:22:07"
"458",13,"13B","Mazama americana",2018-08-18 12:09:05,2018-08-18,"12:09:05"
"459",4,"4A","Atelocynus microtis",2018-08-19 06:37:43,2018-08-19,"6:37:43"
"460",4,"4A","Dicotyles tajacu",2018-08-19 09:09:05,2018-08-19,"9:09:05"
"461",18,"18B","Panthera onca",2018-08-19 10:13:00,2018-08-19,"10:13:00"
"462",16,"16A","Eira barbara",2018-08-19 11:46:17,2018-08-19,"11:46:17"
"463",16,"16B","Atelocynus microtis",2018-08-19 11:49:27,2018-08-19,"11:49:27"
"464",13,"13B","Mazama gouazoubira",2018-08-19 18:11:26,2018-08-19,"18:11:26"
"465",21,"21B","Atelocynus microtis",2018-08-20 09:54:21,2018-08-20,"9:54:21"
"466",4,"4A","Psophia crepitans",2018-08-20 15:45:16,2018-08-20,"15:45:16"
"467",25,"25A","Myoprocta pratti",2018-08-20 18:21:32,2018-08-20,"18:21:32"
"468",9,"9A","Dicotyles tajacu",2018-08-21 00:11:25,2018-08-21,"0:11:25"
"469",7,"7A","Mitu salvini",2018-08-21 07:37:19,2018-08-21,"7:37:19"
"470",8,"8A","Nothocrax urumutum",2018-08-21 07:47:32,2018-08-21,"7:47:32"
