"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"471",8,"8B","Mitu salvini",2018-08-21 07:48:30,2018-08-21,"7:48:30"
"472",18,"18B","Dasyprocta fuliginosa",2018-08-21 13:43:00,2018-08-21,"13:43:00"
"473",16,"16A","Eira barbara",2018-08-21 14:43:38,2018-08-21,"14:43:38"
"474",18,"18A","Dasyprocta fuliginosa",2018-08-21 17:42:51,2018-08-21,"17:42:51"
"475",3,"3A","NAN NAN",2018-08-21 20:31:42,2018-08-21,"20:31:42"
"476",9,"9A","Dasypus novemcinctus",2018-08-22 04:30:31,2018-08-22,"4:30:31"
"477",22,"22A","Nasua nasua",2018-08-22 08:29:00,2018-08-22,"8:29:00"
"478",28,"28A","Dicotyles tajacu",2018-08-22 09:20:51,2018-08-22,"9:20:51"
"479",22,"22A","Dicotyles tajacu",2018-08-22 13:05:00,2018-08-22,"13:05:00"
"480",22,"22A","Atelocynus microtis",2018-08-22 18:52:00,2018-08-22,"18:52:00"
"481",30,"30B","Mazama americana",2018-08-22 19:32:49,2018-08-22,"19:32:49"
"482",24,"24A","Cuniculus paca",2018-08-23 03:16:17,2018-08-23,"3:16:17"
"483",13,"13B","Myrmecophaga tridactyla",2018-08-23 10:08:48,2018-08-23,"10:08:48"
"484",25,"25A","Penelope jacquacu",2018-08-23 12:14:06,2018-08-23,"12:14:06"
"485",3,"3A","Psophia crepitans",2018-08-23 13:28:25,2018-08-23,"13:28:25"
"486",28,"28A","Mazama gouazoubira",2018-08-23 17:17:40,2018-08-23,"17:17:40"
"487",21,"21B","Mazama americana",2018-08-23 18:10:14,2018-08-23,"18:10:14"
"488",18,"18A","Cuniculus paca",2018-08-24 01:29:51,2018-08-24,"1:29:51"
"489",30,"30B","Mazama americana",2018-08-24 02:58:18,2018-08-24,"2:58:18"
"490",26,"26B","Mazama gouazoubira",2018-08-24 07:20:26,2018-08-24,"7:20:26"
"491",7,"7A","Dicotyles tajacu",2018-08-24 12:10:41,2018-08-24,"12:10:41"
"492",7,"7A","Tayassu pecari",2018-08-24 12:14:47,2018-08-24,"12:14:47"
"493",23,"23B","Atelocynus microtis",2018-08-24 13:42:44,2018-08-24,"13:42:44"
"494",4,"4A","Nothocrax urumutum",2018-08-24 16:56:04,2018-08-24,"16:56:04"
"495",17,"17B","Dicotyles tajacu",2018-08-24 17:44:45,2018-08-24,"17:44:45"
"496",17,"17B","Mazama americana",2018-08-24 19:06:56,2018-08-24,"19:06:56"
"497",17,"17B","Dicotyles tajacu",2018-08-25 02:23:28,2018-08-25,"2:23:28"
"498",17,"17A","Dicotyles tajacu",2018-08-25 10:34:00,2018-08-25,"10:34:00"
"499",12,"12A","Penelope jacquacu",2018-08-25 12:58:20,2018-08-25,"12:58:20"
"500",9,"9A","Penelope jacquacu",2018-08-25 14:26:30,2018-08-25,"14:26:30"
"501",8,"8A","Tinamu major",2018-08-25 17:17:24,2018-08-25,"17:17:24"
"502",17,"17A","Dicotyles tajacu",2018-08-25 19:12:00,2018-08-25,"19:12:00"
"503",24,"24B","Tayassu pecari",2018-08-26 14:31:57,2018-08-26,"14:31:57"
"504",24,"24B","Dicotyles tajacu",2018-08-26 14:36:02,2018-08-26,"14:36:02"
"505",18,"18A","Cuniculus paca",2018-08-26 19:16:51,2018-08-26,"19:16:51"
"506",9,"9A","Mazama gouazoubira",2018-08-27 01:40:34,2018-08-27,"1:40:34"
"507",15,"15A","Atelocynus microtis",2018-08-27 09:29:15,2018-08-27,"9:29:15"
"508",7,"7A","Eira barbara",2018-08-27 17:31:00,2018-08-27,"17:31:00"
"509",15,"15B","Atelocynus microtis",2018-08-27 17:47:15,2018-08-27,"17:47:15"
"510",9,"9A","Mitu salvini",2018-08-27 17:49:59,2018-08-27,"17:49:59"
"511",7,"7A","Mitu salvini",2018-08-27 18:49:00,2018-08-27,"18:49:00"
"512",7,"7A","Atelocynus microtis",2018-08-28 12:05:00,2018-08-28,"12:05:00"
"513",1,"1B","Atelocynus microtis",2018-08-28 12:14:20,2018-08-28,"12:14:20"
"514",8,"8B","Mitu salvini",2018-08-28 14:12:25,2018-08-28,"14:12:25"
"515",9,"9A","Mitu salvini",2018-08-28 17:11:41,2018-08-28,"17:11:41"
"516",29,"29A","Dasyprocta fuliginosa",2018-08-28 17:46:05,2018-08-28,"17:46:05"
"517",8,"8A","NA NA",2018-08-29 07:29:19,2018-08-29,"7:29:19"
"518",16,"16A","Psophia crepitans",2018-08-29 08:32:31,2018-08-29,"8:32:31"
"519",17,"17B","Dicotyles tajacu",2018-08-29 11:50:40,2018-08-29,"11:50:40"
"520",4,"4A","Dicotyles tajacu",2018-08-30 05:44:02,2018-08-30,"5:44:02"
"521",12,"12A","Saguinus graellsi",2018-08-30 09:10:34,2018-08-30,"9:10:34"
"522",20,"20B","Dicotyles tajacu",2018-08-30 09:17:36,2018-08-30,"9:17:36"
"523",20,"20B","Dicotyles tajacu",2018-08-30 09:55:36,2018-08-30,"9:55:36"
"524",18,"18A","Psophia crepitans",2018-08-30 13:43:51,2018-08-30,"13:43:51"
"525",3,"3A","Mazama gouazoubira",2018-08-30 14:21:43,2018-08-30,"14:21:43"
"526",18,"18B","Dicotyles tajacu",2018-08-30 16:42:00,2018-08-30,"16:42:00"
"527",22,"22A","NA NA",2018-08-30 18:48:31,2018-08-30,"18:48:31"
"528",3,"3B","Cuniculus paca",2018-08-30 19:19:50,2018-08-30,"19:19:50"
"529",29,"29A","Priodontes maximus",2018-08-30 21:43:47,2018-08-30,"21:43:47"
"530",29,"29A","Dasyprocta fuliginosa",2018-08-31 14:33:01,2018-08-31,"14:33:01"
"531",17,"17B","NA NA",2018-08-31 16:11:40,2018-08-31,"16:11:40"
"532",9,"9A","Psophia crepitans",2018-08-31 16:51:43,2018-08-31,"16:51:43"
"533",8,"8A","Leopardus pardalis",2018-08-31 23:26:01,2018-08-31,"23:26:01"
"534",28,"28A","Tayassu pecari",2018-09-01 08:03:45,2018-09-01,"8:03:45"
"535",18,"18B","Mitu salvini",2018-09-01 09:33:00,2018-09-01,"9:33:00"
"536",4,"4B","Cuniculus paca",2018-09-01 20:32:29,2018-09-01,"20:32:29"
"537",24,"24A","Tapirus terrestris",2018-09-01 20:38:00,2018-09-01,"20:38:00"
"538",18,"18A","Atelocynus microtis",2018-09-02 03:43:51,2018-09-02,"3:43:51"
"539",28,"28A","Mazama americana",2018-09-02 03:46:18,2018-09-02,"3:46:18"
"540",28,"28A","Mazama americana",2018-09-02 04:18:21,2018-09-02,"4:18:21"
"541",9,"9A","Eira barbara",2018-09-02 16:07:00,2018-09-02,"16:07:00"
"542",8,"8A","Crypturellus undulatus",2018-09-02 16:10:31,2018-09-02,"16:10:31"
"543",15,"15A","Atelocynus microtis",2018-09-02 20:01:55,2018-09-02,"20:01:55"
"544",1,"1B","Cuniculus paca",2018-09-03 00:56:07,2018-09-03,"0:56:07"
"545",4,"4A","Atelocynus microtis",2018-09-03 08:51:34,2018-09-03,"8:51:34"
"546",2,"2A","Psophia crepitans",2018-09-03 15:17:26,2018-09-03,"15:17:26"
"547",15,"15A","Myrmecophaga tridactyla",2018-09-03 20:02:32,2018-09-03,"20:02:32"
"548",22,"22A","Tayassu pecari",2018-09-03 22:05:35,2018-09-03,"22:05:35"
"549",22,"22A","Dicotyles tajacu",2018-09-03 22:13:42,2018-09-03,"22:13:42"
"550",22,"22A","Psophia crepitans",2018-09-04 04:30:46,2018-09-04,"4:30:46"
"551",8,"8B","Cebus albifrons",2018-09-04 06:58:54,2018-09-04,"6:58:54"
"552",28,"28A","Tayassu pecari",2018-09-04 13:36:59,2018-09-04,"13:36:59"
"553",22,"22A","Puma concolor",2018-09-04 19:27:42,2018-09-04,"19:27:42"
"554",15,"15A","Panthera onca",2018-09-04 22:35:22,2018-09-04,"22:35:22"
"555",13,"13B","Cuniculus paca",2018-09-05 02:17:53,2018-09-05,"2:17:53"
"556",22,"22A","Dicotyles tajacu",2018-09-05 04:00:53,2018-09-05,"4:00:53"
"557",18,"18B","Panthera onca",2018-09-05 08:30:00,2018-09-05,"8:30:00"
"558",17,"17B","NA NA",2018-09-05 10:54:01,2018-09-05,"10:54:01"
"559",4,"4A","Mazama americana",2018-09-05 11:26:39,2018-09-05,"11:26:39"
"560",4,"4B","Mazama gouazoubira",2018-09-05 11:28:10,2018-09-05,"11:28:10"
"561",18,"18B","Panthera onca",2018-09-05 12:31:00,2018-09-05,"12:31:00"
"562",13,"13B","Nothocrax urumutum",2018-09-05 12:48:52,2018-09-05,"12:48:52"
"563",24,"24B","Eira barbara",2018-09-05 15:12:40,2018-09-05,"15:12:40"
"564",17,"17B","NA NA",2018-09-05 16:45:58,2018-09-05,"16:45:58"
"565",9,"9B","Nothocrax urumutum",2018-09-05 18:02:36,2018-09-05,"18:02:36"
"566",15,"15A","Cuniculus paca",2018-09-05 19:00:19,2018-09-05,"19:00:19"
"567",4,"4B","Cuniculus paca",2018-09-05 19:18:35,2018-09-05,"19:18:35"
"568",12,"12A","Tapirus terrestris",2018-09-05 19:36:49,2018-09-05,"19:36:49"
"569",4,"4A","Dasypus novemcinctus",2018-09-05 20:18:24,2018-09-05,"20:18:24"
"570",13,"13B","Mazama americana",2018-09-06 08:09:10,2018-09-06,"8:09:10"
"571",17,"17B","NA NA",2018-09-06 13:05:06,2018-09-06,"13:05:06"
"572",17,"17B","Cuniculus paca",2018-09-06 19:12:54,2018-09-06,"19:12:54"
"573",3,"3B","Cuniculus paca",2018-09-06 22:29:46,2018-09-06,"22:29:46"
"574",3,"3A","Cuniculus paca",2018-09-06 23:14:05,2018-09-06,"23:14:05"
"575",3,"3B","Eira barbara",2018-09-07 08:24:37,2018-09-07,"8:24:37"
"576",4,"4A","Panthera onca",2018-09-07 09:37:26,2018-09-07,"9:37:26"
"577",4,"4A","Dicotyles tajacu",2018-09-07 12:24:45,2018-09-07,"12:24:45"
"578",30,"30B","Mazama gouazoubira",2018-09-07 12:48:38,2018-09-07,"12:48:38"
"579",9,"9A","Psophia crepitans",2018-09-07 14:42:48,2018-09-07,"14:42:48"
"580",4,"4B","Dasyprocta fuliginosa",2018-09-07 19:53:07,2018-09-07,"19:53:07"
"581",18,"18B","Leopardus pardalis",2018-09-07 22:35:00,2018-09-07,"22:35:00"
"582",4,"4A","Psophia crepitans",2018-09-08 09:07:20,2018-09-08,"9:07:20"
"583",13,"13B","Mazama americana",2018-09-08 09:30:50,2018-09-08,"9:30:50"
"584",24,"24B","Penelope jacquacu",2018-09-08 11:05:41,2018-09-08,"11:05:41"
"585",13,"13B","Psophia crepitans",2018-09-08 13:36:21,2018-09-08,"13:36:21"
"586",21,"21B","Psophia crepitans",2018-09-08 14:31:48,2018-09-08,"14:31:48"
"587",12,"12A","Dicotyles tajacu",2018-09-08 16:58:56,2018-09-08,"16:58:56"
"588",28,"28A","Mitu salvini",2018-09-08 17:36:06,2018-09-08,"17:36:06"
"589",15,"15B","Mazama gouazoubira",2018-09-09 00:10:32,2018-09-09,"0:10:32"
"590",18,"18A","Cuniculus paca",2018-09-09 03:36:51,2018-09-09,"3:36:51"
"591",18,"18A","Crypturellus undulatus",2018-09-09 06:21:51,2018-09-09,"6:21:51"
"592",4,"4B","Tayassu pecari",2018-09-09 08:04:47,2018-09-09,"8:04:47"
"593",18,"18A","NA NA",2018-09-09 10:02:51,2018-09-09,"10:02:51"
"594",17,"17B","Penelope jacquacu",2018-09-09 15:05:04,2018-09-09,"15:05:04"
"595",8,"8A","Puma concolor",2018-09-09 15:20:29,2018-09-09,"15:20:29"
"596",15,"15B","Penelope jacquacu",2018-09-10 07:49:16,2018-09-10,"7:49:16"
"597",13,"13B","Mazama americana",2018-09-10 20:35:00,2018-09-10,"20:35:00"
"598",17,"17B","Mazama gouazoubira",2018-09-11 02:17:18,2018-09-11,"2:17:18"
"599",28,"28A","Dicotyles tajacu",2018-09-11 08:09:43,2018-09-11,"8:09:43"
"600",17,"17A","Mazama gouazoubira",2018-09-11 19:05:00,2018-09-11,"19:05:00"
"601",22,"22A","Dicotyles tajacu",2018-09-11 19:22:10,2018-09-11,"19:22:10"
"602",4,"4A","Dasypus novemcinctus",2018-09-12 02:16:08,2018-09-12,"2:16:08"
"603",28,"28A","Dicotyles tajacu",2018-09-12 08:14:24,2018-09-12,"8:14:24"
"604",4,"4A","Dicotyles tajacu",2018-09-12 09:14:56,2018-09-12,"9:14:56"
"605",28,"28A","Dicotyles tajacu",2018-09-12 11:12:45,2018-09-12,"11:12:45"
"606",8,"8A","Dasyprocta fuliginosa",2018-09-12 16:13:23,2018-09-12,"16:13:23"
"607",8,"8B","Dicotyles tajacu",2018-09-12 16:14:12,2018-09-12,"16:14:12"
"608",17,"17A","Dasypus novemcinctus",2018-09-12 20:26:00,2018-09-12,"20:26:00"
"609",9,"9A","Dasypus novemcinctus",2018-09-13 03:29:15,2018-09-13,"3:29:15"
"610",22,"22A","Cuniculus paca",2018-09-13 08:36:25,2018-09-13,"8:36:25"
"611",13,"13B","Penelope jacquacu",2018-09-13 14:46:44,2018-09-13,"14:46:44"
"612",12,"12A","Eira barbara",2018-09-13 16:13:28,2018-09-13,"16:13:28"
"613",24,"24B","Crypturellus undulatus",2018-09-13 17:36:49,2018-09-13,"17:36:49"
"614",18,"18A","NA NA",2018-09-13 17:37:51,2018-09-13,"17:37:51"
"615",24,"24B","Tapirus terrestris",2018-09-13 22:20:54,2018-09-13,"22:20:54"
"616",24,"24B","Tapirus terrestris",2018-09-14 00:43:42,2018-09-14,"0:43:42"
"617",18,"18A","Psophia crepitans",2018-09-14 08:33:51,2018-09-14,"8:33:51"
"618",18,"18B","Psophia crepitans",2018-09-14 08:35:00,2018-09-14,"8:35:00"
"619",22,"22A","Dasyprocta fuliginosa",2018-09-15 01:56:28,2018-09-15,"1:56:28"
"620",24,"24B","Dasypus novemcinctus",2018-09-15 02:45:32,2018-09-15,"2:45:32"
"621",3,"3B","Cuniculus paca",2018-09-15 04:59:40,2018-09-15,"4:59:40"
"622",4,"4A","Atelocynus microtis",2018-09-15 11:27:40,2018-09-15,"11:27:40"
"623",25,"25A","Dasyprocta fuliginosa",2018-09-15 11:37:00,2018-09-15,"11:37:00"
"624",18,"18A","Dasyprocta fuliginosa",2018-09-15 17:22:51,2018-09-15,"17:22:51"
"625",15,"15B","Cuniculus paca",2018-09-15 20:19:50,2018-09-15,"20:19:50"
"626",30,"30B","Atelocynus microtis",2018-09-15 21:13:13,2018-09-15,"21:13:13"
"627",3,"3B","Cuniculus paca",2018-09-15 21:44:19,2018-09-15,"21:44:19"
"628",25,"25A","Leopardus pardalis",2018-09-15 22:16:00,2018-09-15,"22:16:00"
"629",18,"18B","Atelocynus microtis",2018-09-15 22:22:00,2018-09-15,"22:22:00"
"630",28,"28A","Dicotyles tajacu",2018-09-16 09:13:22,2018-09-16,"9:13:22"
"631",4,"4A","Atelocynus microtis",2018-09-16 12:22:53,2018-09-16,"12:22:53"
"632",17,"17A","Panthera onca",2018-09-17 08:49:00,2018-09-17,"8:49:00"
"633",4,"4B","Mazama gouazoubira",2018-09-17 11:55:07,2018-09-17,"11:55:07"
"634",8,"8A","Mitu salvini",2018-09-17 12:59:45,2018-09-17,"12:59:45"
"635",8,"8B","Panthera onca",2018-09-17 14:15:54,2018-09-17,"14:15:54"
"636",9,"9B","Leucopternis melanops",2018-09-17 14:46:48,2018-09-17,"14:46:48"
"637",8,"8B","Cuniculus paca",2018-09-18 02:40:24,2018-09-18,"2:40:24"
"638",25,"25A","Tapirus terrestris",2018-09-18 07:10:00,2018-09-18,"7:10:00"
"639",17,"17B","Penelope jacquacu",2018-09-18 12:00:17,2018-09-18,"12:00:17"
"640",3,"3B","Mazama gouazoubira",2018-09-18 15:48:00,2018-09-18,"15:48:00"
"641",28,"28A","Mitu salvini",2018-09-18 16:12:45,2018-09-18,"16:12:45"
"642",8,"8A","Dasyprocta fuliginosa",2018-09-18 17:42:59,2018-09-18,"17:42:59"
"643",2,"2A","Mitu salvini",2018-09-19 15:30:17,2018-09-19,"15:30:17"
"644",2,"2A","Mazama americana",2018-09-19 21:44:59,2018-09-19,"21:44:59"
"645",9,"9B","Dicotyles tajacu",2018-09-20 05:37:14,2018-09-20,"5:37:14"
"646",17,"17A","Mazama gouazoubira",2018-09-20 07:05:00,2018-09-20,"7:05:00"
"647",4,"4B","Mazama americana",2018-09-20 07:07:08,2018-09-20,"7:07:08"
"648",28,"28A","Mazama gouazoubira",2018-09-20 10:34:33,2018-09-20,"10:34:33"
"649",4,"4A","Dicotyles tajacu",2018-09-20 12:08:21,2018-09-20,"12:08:21"
"650",9,"9A","Dicotyles tajacu",2018-09-20 12:23:08,2018-09-20,"12:23:08"
"651",3,"3B","Tapirus terrestris",2018-09-20 21:28:09,2018-09-20,"21:28:09"
"652",8,"8A","Cuniculus paca",2018-09-21 03:21:38,2018-09-21,"3:21:38"
"653",17,"17B","Tapirus terrestris",2018-09-21 05:30:30,2018-09-21,"5:30:30"
"654",13,"13B","Psophia crepitans",2018-09-21 07:48:00,2018-09-21,"7:48:00"
"655",12,"12A","Mitu salvini",2018-09-21 08:31:25,2018-09-21,"8:31:25"
"656",4,"4A","Psophia crepitans",2018-09-21 08:59:25,2018-09-21,"8:59:25"
"657",29,"29A","Mitu salvini",2018-09-21 09:21:58,2018-09-21,"9:21:58"
"658",12,"12A","Mazama americana",2018-09-21 10:04:30,2018-09-21,"10:04:30"
"659",4,"4A","Atelocynus microtis",2018-09-21 18:23:24,2018-09-21,"18:23:24"
"660",17,"17A","Tapirus terrestris",2018-09-21 22:18:00,2018-09-21,"22:18:00"
"661",24,"24B","Tayassu pecari",2018-09-22 11:23:26,2018-09-22,"11:23:26"
"662",17,"17B","Mazama gouazoubira",2018-09-22 11:46:31,2018-09-22,"11:46:31"
"663",22,"22A","Tayassu pecari",2018-09-22 21:57:59,2018-09-22,"21:57:59"
"664",17,"17B","Tamandua tetradactyla",2018-09-23 00:39:02,2018-09-23,"0:39:02"
"665",17,"17A","Nasua nasua",2018-09-23 02:34:00,2018-09-23,"2:34:00"
"666",17,"17A","Mazama gouazoubira",2018-09-23 04:34:00,2018-09-23,"4:34:00"
"667",29,"29A","Mitu salvini",2018-09-23 09:50:12,2018-09-23,"9:50:12"
"668",3,"3B","Mitu salvini",2018-09-23 13:25:54,2018-09-23,"13:25:54"
"669",3,"3A","Mazama gouazoubira",2018-09-23 17:22:11,2018-09-23,"17:22:11"
"670",8,"8A","Dasyprocta fuliginosa",2018-09-24 06:08:24,2018-09-24,"6:08:24"
"671",8,"8B","Myoprocta pratti",2018-09-24 06:09:23,2018-09-24,"6:09:23"
"672",28,"28A","Dicotyles tajacu",2018-09-24 07:36:28,2018-09-24,"7:36:28"
"673",30,"30B","Atelocynus microtis",2018-09-24 09:00:38,2018-09-24,"9:00:38"
"674",30,"30B","Dicotyles tajacu",2018-09-24 09:05:44,2018-09-24,"9:05:44"
"675",22,"22A","Mazama gouazoubira",2018-09-24 12:09:46,2018-09-24,"12:09:46"
"676",21,"21B","Dicotyles tajacu",2018-09-24 14:08:04,2018-09-24,"14:08:04"
"677",21,"21B","Dicotyles tajacu",2018-09-24 15:00:57,2018-09-24,"15:00:57"
"678",4,"4A","Tinamu major",2018-09-24 17:24:28,2018-09-24,"17:24:28"
"679",13,"13B","Mazama americana",2018-09-24 19:23:31,2018-09-24,"19:23:31"
"680",15,"15B","Mazama americana",2018-09-25 00:12:10,2018-09-25,"0:12:10"
"681",17,"17B","Psophia crepitans",2018-09-25 10:54:01,2018-09-25,"10:54:01"
"682",17,"17A","Psophia crepitans",2018-09-26 03:41:00,2018-09-26,"3:41:00"
"683",1,"1B","Psophia crepitans",2018-09-26 06:07:24,2018-09-26,"6:07:24"
"684",4,"4B","Dicotyles tajacu",2018-09-26 09:10:25,2018-09-26,"9:10:25"
"685",30,"30B","Dicotyles tajacu",2018-09-26 09:25:55,2018-09-26,"9:25:55"
"686",25,"25A","Atelocynus microtis",2018-09-26 13:01:00,2018-09-26,"13:01:00"
"687",4,"4A","Eira barbara",2018-09-26 14:04:19,2018-09-26,"14:04:19"
"688",24,"24B","Crypturellus undulatus",2018-09-26 16:45:38,2018-09-26,"16:45:38"
"689",4,"4A","Crypturellus undulatus",2018-09-26 17:38:30,2018-09-26,"17:38:30"
"690",12,"12A","Nothocrax urumutum",2018-09-27 08:34:21,2018-09-27,"8:34:21"
"691",4,"4B","Mazama gouazoubira",2018-09-27 09:13:58,2018-09-27,"9:13:58"
"692",29,"29A","Tayassu pecari",2018-09-27 09:19:35,2018-09-27,"9:19:35"
"693",9,"9A","Tapirus terrestris",2018-09-27 18:19:52,2018-09-27,"18:19:52"
"694",4,"4A","NA NA",2018-09-28 06:29:23,2018-09-28,"6:29:23"
"695",21,"21B","Psophia crepitans",2018-09-28 08:28:08,2018-09-28,"8:28:08"
"696",21,"21B","Dasyprocta fuliginosa",2018-09-28 08:43:09,2018-09-28,"8:43:09"
"697",4,"4A","Psophia crepitans",2018-09-28 08:59:23,2018-09-28,"8:59:23"
"698",25,"25A","Mazama americana",2018-09-28 18:35:00,2018-09-28,"18:35:00"
"699",22,"22A","Dicotyles tajacu",2018-09-28 23:39:11,2018-09-28,"23:39:11"
"700",16,"16A","Dicotyles tajacu",2018-09-29 07:22:51,2018-09-29,"7:22:51"
"701",24,"24B","Penelope jacquacu",2018-10-01 09:34:15,2018-10-01,"9:34:15"
"702",16,"16A","NAN NAN",2018-10-01 22:18:57,2018-10-01,"22:18:57"
"703",24,"24B","Tayassu pecari",2018-10-03 12:37:20,2018-10-03,"12:37:20"
"704",24,"24B","Dicotyles tajacu",2018-10-03 12:37:21,2018-10-03,"12:37:21"
"705",16,"16A","Myrmecophaga tridactyla",2018-10-03 17:52:26,2018-10-03,"17:52:26"
"706",24,"24B","Crypturellus undulatus",2018-10-04 07:12:38,2018-10-04,"7:12:38"
"707",24,"24B","Penelope jacquacu",2018-10-05 10:52:41,2018-10-05,"10:52:41"
"708",24,"24B","Tinamu major",2018-10-09 06:04:53,2018-10-09,"6:04:53"
