Station,Camera,y,x,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,Problem3_from,Problem3_to,Total
1,1A,-0.3585662,-75.650566,7/4/18,9/8/18,7/4/18,8/2/18,8/10/18,9/8/18,,,8
1,1B,-0.3585662,-75.650566,7/4/18,9/28/18,7/20/18,7/30/18,,,,,76
2,2A,-0.3480056,-75.634902,7/4/18,9/28/18,,,,,,,86
2,2B,-0.3480056,-75.634902,7/4/18,8/17/18,,,,,,,44
3,3A,-0.3358528,-75.619194,7/4/18,9/28/18,7/31/18,8/6/18,,,,,80
3,3B,-0.3358528,-75.619194,7/4/18,9/28/18,,,,,,,86
4,4A,-0.3183634,-75.608932,7/4/18,9/28/18,,,,,,,86
4,4B,-0.3183634,-75.608932,7/4/18,9/28/18,,,,,,,86
5,5A,-0.3402021,-75.651276,7/4/18,8/15/18,7/14/18,7/14/18,,,,,42
5,5B,-0.3402021,-75.651276,7/3/18,7/3/18,,,,,,,0
6,6A,-0.3262535,-75.637213,7/4/18,7/10/18,7/7/18,7/10/18,,,,,3
6,6B,-0.3262535,-75.637213,7/4/18,7/4/18,,,,,,,0
7,7A,-0.3110146,-75.625574,7/4/18,9/5/18,7/31/18,8/17/18,,,,,46
7,7B,-0.3110146,-75.625574,7/4/18,7/22/18,,,,,,,18
8,8A,-0.311621,-75.647736,7/5/18,9/28/18,7/17/18,8/11/18,,,,,60
8,8B,-0.311621,-75.647736,7/5/18,9/28/18,,,,,,,85
9,9A,-0.2948174,-75.638389,7/5/18,9/28/18,,,,,,,85
9,9B,-0.2948174,-75.638389,7/5/18,9/27/18,,,,,,,84
10,10A,-0.347342,-75.668265,7/3/18,7/21/18,,,,,,,18
10,10B,-0.347342,-75.668265,7/3/18,9/28/18,,,,,,,87
11,11A,-0.3266499,-75.665595,7/3/18,7/29/18,,,,,,,26
11,11B,-0.3266499,-75.665595,7/3/18,7/4/18,,,,,,,1
12,12A,-0.3056427,-75.664788,7/4/18,9/28/18,7/30/18,8/9/18,,,,,76
12,12B,-0.3056427,-75.664788,7/4/18,7/20/18,,,,,,,16
13,13A,-0.2879286,-75.65523,7/4/18,8/17/18,7/22/18,7/27/18,,,,,39
13,13B,-0.2879286,-75.65523,7/4/18,9/24/18,7/21/18,7/28/18,8/4/18,8/10/18,8/23/18,8/31/18,61
14,14A,-0.3474509,-75.68842,7/5/18,8/17/18,,,,,,,43
14,14B,-0.3474509,-75.68842,7/5/18,7/5/18,,,,,,,0
15,15A,-0.3279468,-75.685591,7/5/18,9/9/18,8/2/18,8/22/18,,,,,46
15,15B,-0.3279468,-75.685591,7/5/18,9/25/18,8/10/18,8/22/18,,,,,70
16,16A,-0.3108065,-75.681072,7/5/18,9/29/18,8/29/18,9/23/18,,,,,61
16,16B,-0.3108065,-75.681072,7/5/18,9/1/18,,,,,,,58
17,17A,-0.2913461,-75.675559,7/5/18,9/28/18,7/18/18,7/31/18,8/13/18,8/18/18,,,67
17,17B,-0.2913461,-75.675559,7/5/18,9/28/18,7/5/18,7/14/18,,,,,76
18,18A,-0.2913924,-75.693832,7/8/18,9/18/18,,,,,,,72
18,18B,-0.2913924,-75.693832,7/8/18,9/18/18,7/19/18,8/10/18,,,,,50
19,19A,-0.3105419,-75.699043,7/6/18,8/6/18,,,,,,,31
19,19B,-0.3105419,-75.699043,7/6/18,7/6/18,,,,,,,0
20,20A,-0.3329209,-75.703019,7/6/18,7/6/18,,,,,,,0
20,20B,-0.3329209,-75.703019,7/8/18,9/3/18,,,,,,,57
21,21A,-0.2704756,-75.695876,7/6/18,8/30/18,7/28/18,8/6/18,,,,,46
21,21B,-0.2704756,-75.695876,7/6/18,10/2/18,7/28/18,8/6/18,,,,,79
22,22A,-0.2720679,-75.676593,7/6/18,10/2/18,,,,,,,88
22,22B,-0.2720679,-75.676593,7/6/18,7/15/18,,,,,,,9
23,23A,-0.3137281,-75.720214,7/6/18,7/6/18,,,,,,,0
23,23B,-0.3137281,-75.720214,7/6/18,8/30/18,,,,,,,55
24,24A,-0.3174331,-75.735311,7/14/18,8/23/18,,,,,,,40
24,24B,-0.3174331,-75.735311,7/6/18,10/9/18,,,,,,,95
25,25A,-0.3002043,-75.724032,7/8/18,9/30/18,,,,,,,84
25,25B,-0.3002043,-75.724032,7/6/18,7/6/18,,,,,,,0
26,26A,-0.2845973,-75.71331,7/6/18,10/4/18,8/13/18,8/24/18,8/31/18,9/29/18,,,50
26,26B,-0.2845973,-75.71331,7/6/18,9/28/18,7/27/18,8/24/18,,,,,56
27,27A,-0.3111467,-75.754517,7/6/18,7/14/18,,,,,,,8
27,27B,-0.3111467,-75.754517,7/6/18,7/25/18,7/14/18,7/25/18,,,,,8
28,28A,-0.2961788,-75.742542,7/6/18,9/27/18,,,,,,,83
28,28B,-0.2961788,-75.742542,7/5/18,7/5/18,,,,,,,0
29,29A,-0.2737222,-75.732679,7/6/18,9/27/18,,,,,,,83
29,29B,-0.2737222,-75.732679,7/6/18,7/14/18,,,,,,,8
30,30A,-0.2646804,-75.716577,7/6/18,7/14/18,,,,,,,8
30,30B,-0.2646804,-75.716577,7/6/18,9/27/18,,,,,,,83